OTU	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	
09a70e88c6b2f0a37a03f43a9c18499f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
09b2b19e540e55c1cd4ca5dbd75f05aa	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
09befda75a98c6c4af6c35bb42c4f057	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
09cf0c24c3708617442175341abfdd6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0a0be5d30b504be7d0d7460cba32d31a	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0a1f5ed70dcb37a86924dbd5fde981af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	
0a38d9d7e93082976a51e5e10a7f35e3	0	0	0	0	10	0	0	0	0	0	12	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	0	10	0	0	0	0	
0a47607f369cd15e283f4fa08e065db9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	41	13	0	0	0	0	
0a5072f5575adec33f9240ccb4ecf896	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0ac724c1e28bc40d9324ee6e340b5cf8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0acf39a63b632ec1a5a7362d2781192a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0ad0ff3019d3c6b5ad386b9129853611	162	0	0	0	113	75	0	0	0	26	153	44	70	51	60	52	66	32	33	0	24	74	49	86	0	24	20	31	10	27	328	436	369	10	344	35	
0ad627e808baa026b1b279df6092d5b8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	60	108	0	0	0	0	0	0	0	80	
0b05584af09bf7b9f3c8c55e1ac55cc6	69	91	109	116	97	106	85	76	62	0	78	44	7	9	0	11	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
0b0f62b8819fb9723e5cd9c8ac354f36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	
